Id;sex;slh;hrd;age;cw;sire;dam
 305;2;2;5;406;241; 4; 28
 306;2;3;5;403;221; 2; 29
 307;2;3;1;400;186; 9; 35
 308;2;3;1;413;205; 4; 27
 309;2;3;3;396;202; 6; 37
 310;2;2;4;390;262; 7; 22
 311;2;3;1;394;200; 6; 24
 312;2;2;1;402;210;10; 31
 313;2;1;2;393;265; 9; 37
 314;2;1;3;401;210; 6; 23
 315;2;3;3;405;215; 4; 45
 316;2;1;1;399;199; 2; 47
 317;2;2;3;402;218;10; 25
 318;2;3;5;411;242; 5; 42
 319;2;1;3;405;207; 3; 24
 320;2;3;2;403;307; 9; 34
 321;2;2;4;400;285; 6; 22
 322;2;1;4;401;242; 2; 48
 323;2;2;1;397;227; 2; 16
 324;2;1;5;402;213; 2; 28
 325;2;3;1;406;195; 3; 38
 326;2;3;4;398;245;10; 31
 327;2;1;4;390;253; 4; 31
 328;2;2;5;401;245; 9; 50
 329;2;1;3;387;196;10; 13
 330;2;1;1;400;190; 4; 15
 331;2;3;1;399;178; 7; 49
 332;2;3;5;400;225;10; 44
 333;2;1;1;400;207; 1; 27
 334;2;3;5;396;190; 4; 18
 335;2;3;3;404;204; 9; 36
 336;2;2;3;396;221; 4; 18
 337;2;1;1;400;194; 3; 15
 338;2;3;1;403;205; 1; 21
 339;2;3;5;390;219; 7; 17
 340;2;1;2;404;296; 7; 48
 341;2;2;2;404;295; 6; 36
 342;2;1;5;404;217; 5; 29
 343;2;2;1;394;205; 7; 29
 344;2;2;4;407;291; 6; 16
 345;2;2;3;395;215; 9; 14
 346;2;3;1;397;209; 3; 41
 347;2;1;4;405;251; 1; 15
 348;2;1;5;398;210; 1; 35
 349;2;2;5;397;225; 5; 22
 350;2;3;3;393;205; 4; 42
 351;2;3;4;402;263; 9; 19
 352;2;1;3;405;209; 6; 23
 353;2;1;5;388;208; 8; 13
 354;2;2;5;399;232; 4; 47
 355;2;2;5;412;243; 8; 22
 356;2;1;5;409;230; 3; 20
 357;2;1;4;391;240; 9; 20
 358;2;1;4;398;248; 3; 25
 359;2;3;3;398;192; 4; 12
 360;2;3;2;397;285; 4; 44
 361;2;2;5;402;247; 2; 14
 362;2;3;5;399;228;10; 34
 363;2;2;1;401;212; 8; 49
 364;2;1;3;405;208; 5; 15
 365;2;2;4;407;287; 3; 36
 366;2;2;3;403;245; 4; 44
 367;2;1;5;411;234; 7; 40
 368;2;2;5;398;258; 5; 20
 369;2;2;4;404;283; 6; 26
 370;2;2;5;390;244; 9; 40
 371;2;3;4;405;260; 2; 37
 372;2;2;4;393;256; 9; 49
 373;2;3;1;405;200; 5; 22
 374;2;2;1;395;218; 2; 13
 375;2;3;4;397;250; 6; 28
 376;2;1;2;396;277; 9; 23
 377;2;1;2;391;283;10; 46
 378;2;1;1;401;189; 4; 13
 379;2;2;1;402;211; 4; 31
 380;2;1;4;401;228; 2; 34
 381;2;3;4;395;243; 1; 18
 382;2;2;5;397;228; 7; 21
 383;2;3;1;395;200;10; 36
 384;2;2;4;409;254;10; 15
 385;2;1;2;399;298; 1; 47
 386;2;2;4;406;270; 6; 28
 387;2;1;3;393;206; 1; 44
 388;2;3;3;400;223; 6; 47
 389;2;1;2;398;290; 8; 23
 390;2;1;2;398;274;10; 27
 391;2;1;3;400;191; 3; 34
 392;2;1;5;400;212; 8; 44
 393;2;1;3;388;196; 3; 43
 394;2;2;2;397;303; 1; 18
 395;2;3;1;407;188;10; 50
 396;2;3;4;396;269; 2; 47
 397;2;3;2;403;294; 8; 19
 398;2;1;2;389;276; 6; 16
 399;2;1;5;393;207; 3; 33
 400;2;1;1;398;197; 4; 30
 401;2;3;1;399;191; 7; 19
 402;2;1;1;396;178; 4; 20
 403;2;3;4;403;285; 8; 20
 404;2;3;2;400;310;10; 44
 405;2;1;3;398;199; 2; 15
 406;2;2;3;395;200; 4; 25
 407;2;3;5;407;227; 4; 32
 408;2;2;4;407;281; 2; 46
 409;2;2;3;392;219; 7; 21
 410;2;3;2;394;290; 3; 44
 411;2;1;5;401;199; 5; 25
 412;2;1;1;401;194; 7; 37
 413;2;2;4;406;277; 1; 18
 414;2;1;3;403;200; 7; 32
 415;2;2;2;396;297; 6; 11
 416;2;2;2;399;308; 3; 33
 417;2;1;2;399;272; 8; 35
 418;2;3;1;394;202; 5; 26
 419;2;3;3;402;200; 2; 17
 420;2;3;1;392;187; 3; 20
 421;2;2;2;398;309; 7; 39
 422;2;2;3;403;216; 3; 49
 423;2;1;2;401;275; 3; 46
 424;2;3;2;405;288; 9; 42
 425;2;1;5;408;240; 8; 44
 426;2;1;3;397;201; 8; 45
 427;2;3;2;397;284; 8; 14
 428;2;2;2;405;323; 1; 30
 429;2;3;4;404;244; 9; 29
 430;2;2;1;404;220; 7; 30
 431;2;2;3;397;220; 4; 14
 432;2;1;3;403;202; 6; 37
 433;2;3;4;394;263; 1; 16
 434;2;3;5;403;221; 4; 43
 435;2;3;2;397;283;10; 39
 436;2;1;3;396;217; 3; 23
 437;2;1;3;398;212; 8; 18
 438;2;2;3;402;240; 8; 47
 439;2;1;5;392;225; 7; 45
 440;2;2;2;411;313; 9; 29
 441;2;1;3;396;199; 7; 15
 442;2;2;2;395;297; 5; 18
 443;2;2;5;405;239; 4; 17
 444;2;3;4;393;264; 5; 44
 445;2;3;4;396;275; 2; 31
 446;2;3;3;397;190; 3; 49
 447;2;2;1;395;219; 8; 42
 448;2;2;3;392;215; 4; 18
 449;2;1;4;396;232; 5; 31
 450;2;2;1;392;212; 2; 48
 451;2;2;4;396;264;10; 45
 452;2;2;2;401;306; 8; 50
 453;2;3;5;407;229; 7; 11
 454;2;1;1;410;206; 1; 22
 455;2;1;4;405;254; 8; 12
 456;2;3;3;400;205; 9; 50
 457;2;1;3;389;179; 9; 20
 458;2;3;3;407;234; 1; 39
 459;2;1;3;403;207; 1; 37
 460;2;1;3;402;217; 3; 31
 461;2;1;2;409;277; 5; 28
 462;2;2;4;406;284; 3; 23
 463;2;3;5;402;227; 5; 35
 464;2;1;2;407;306; 8; 32
 465;2;3;4;400;251;10; 14
 466;2;2;2;391;306; 3; 14
 467;2;3;2;397;288; 8; 21
 468;2;1;1;414;193;10; 27
 469;2;3;3;403;214; 2; 20
 470;2;1;2;403;285; 8; 23
 471;2;2;4;400;281; 2; 16
 472;2;2;4;400;282;10; 37
 473;2;2;5;400;231; 9; 29
 474;2;3;1;405;203; 5; 25
 475;2;1;5;402;221; 7; 17
 476;2;2;3;403;214; 5; 27
 477;2;2;5;395;223; 9; 17
 478;2;3;3;392;203; 6; 33
 479;2;3;4;415;262; 2; 49
 480;2;2;1;384;203; 5; 36
 481;2;2;1;400;215; 5; 43
 482;2;2;1;384;226; 3; 42
 483;2;1;2;399;283; 5; 19
 484;2;3;1;405;190; 9; 12
 485;2;3;3;394;201;10; 49
 486;2;3;1;405;205; 7; 42
 487;2;2;5;393;245;10; 46
 488;2;1;3;411;212; 1; 29
 489;2;3;5;405;228; 4; 44
 490;2;2;2;399;296; 6; 22
 491;2;3;1;400;189; 7; 12
 492;2;3;4;403;258; 7; 39
 493;2;3;1;396;196; 7; 41
 494;2;2;5;403;242; 2; 46
 495;2;2;2;398;312; 4; 46
 496;2;3;4;405;263; 1; 46
 497;2;1;4;397;246; 4; 28
 498;2;3;2;392;298; 8; 44
 499;2;2;1;412;236; 4; 20
 500;2;2;1;408;227; 2; 46
 501;2;2;4;395;269; 4; 47
 502;2;1;4;396;243; 4; 40
 503;2;2;3;406;233; 2; 27
 504;2;2;2;403;310; 4; 17
 505;2;1;4;405;256; 6; 30
 506;2;1;3;404;204;10; 35
 507;2;1;3;399;201; 1; 24
 508;2;3;4;403;261; 2; 31
 509;2;1;5;410;240; 7; 40
 510;2;2;3;397;224;10; 47
 511;2;1;3;407;196; 7; 32
 512;2;1;2;397;269; 2; 38
 513;2;3;5;400;214; 2; 18
 514;2;2;4;404;277; 4; 12
 515;2;1;1;405;187; 6; 47
 516;2;3;4;403;264; 5; 28
 517;2;2;3;397;215; 5; 21
 518;2;3;3;413;217; 2; 26
 519;2;1;1;403;198; 3; 28
 520;2;1;5;391;210;10; 20
 521;2;1;4;400;243;10; 24
 522;2;3;1;401;205; 2; 46
 523;2;2;3;406;241;10; 50
 524;2;3;1;396;198; 4; 28
 525;2;3;1;397;214; 1; 16
 526;2;2;5;395;252; 4; 45
 527;2;3;1;397;200; 2; 33
 528;2;3;2;395;288; 7; 31
 529;2;3;5;401;223; 6; 24
 530;2;1;5;406;204; 4; 19
 531;2;2;2;398;290; 2; 35
 532;2;3;3;399;209; 1; 42
 533;2;2;4;404;270; 1; 12
 534;2;3;4;408;267; 2; 21
 535;2;3;4;402;260; 4; 35
 536;2;1;4;405;247; 9; 13
 537;2;1;1;405;208; 1; 32
 538;2;2;2;389;281;10; 16
 539;2;2;4;410;294; 8; 26
 540;2;3;2;390;286; 1; 25
 541;2;1;3;399;192; 4; 11
 542;2;3;2;396;283; 2; 45
 543;2;1;1;391;179; 4; 15
 544;2;1;4;409;279; 1; 29
 545;2;3;1;402;194; 2; 23
 546;2;2;3;403;219; 8; 34
 547;2;3;3;402;207; 6; 35
 548;2;2;5;399;235; 2; 24
 549;2;3;2;402;286; 6; 16
 550;2;1;1;409;208; 6; 14
 551;2;3;5;399;216;52; 36
 552;2;2;5;406;253;65;430
 553;2;2;5;403;229;72;432
 554;2;3;5;400;213;57;473
 555;2;2;4;405;279;68;531
 556;2;2;1;409;242; 6;515
 557;2;3;5;396;220; 1;542
 558;2;2;5;405;238;10;424
 559;2;3;5;390;213;74;376
 560;2;1;2;399;281; 8;521
 561;2;2;2;391;314;52;470
 562;2;2;2;398;299;74;469
 563;2;2;5;400;249;59;513
 564;2;2;1;399;210; 8;466
 565;2;3;1;397;201;72;396
 566;2;3;4;397;252;63;449
 567;2;3;2;400;284;73;460
 568;2;1;3;401;200; 2;469
 569;2;2;4;400;275;56;353
 570;2;1;1;400;207; 1;351
 571;2;2;4;401;303; 4;488
 572;2;3;3;402;223;55;445
 573;2;3;1;399;200;56; 32
 574;2;3;5;399;206;51;325
 575;2;2;2;404;294;70; 38
 576;2;3;5;400;220;59;302
 577;2;2;5;396;240; 3;372
 578;2;3;2;388;280; 5;449
 579;2;3;3;407;230;55; 37
 580;2;2;1;397;218; 4;533
 581;2;1;5;409;217; 2;339
 582;2;2;1;400;214;56;405
 583;2;3;4;407;256;67;494
 584;2;2;4;408;280;59;410
 585;2;3;3;402;210; 6;547
 586;2;1;4;406;266; 8;359
 587;2;3;3;389;188;54;417
 588;2;2;2;403;314; 2;328
 589;2;2;1;403;211;64;307
 590;2;3;1;406;208;68; 31
 591;2;3;1;403;211;61;386
 592;2;1;4;406;257;61; 12
 593;2;1;3;397;191;63; 22
 594;2;1;2;398;293;66;425
 595;2;3;1;393;194; 5;329
 596;2;3;1;405;199;53;338
 597;2;2;3;406;241;56; 48
 598;2;1;5;400;218;66;458
 599;2;1;3;395;189;59; 21
 600;2;3;4;391;260;63;373
 601;2;2;1;397;222;63;543
 602;2;1;2;391;293;62;338
 603;2;1;5;414;229;53;473
 604;2;1;4;400;273; 1; 40
 605;2;1;2;412;290;74;490
 606;2;3;2;393;281;74;548
 607;2;3;3;392;198;63;548
 608;2;3;3;401;227;64;343
 609;2;1;3;401;206; 5;512
 610;2;2;1;404;232; 3;399
 611;2;1;4;400;264; 8;510
 612;2;3;5;395;212; 5;391
 613;2;3;5;399;215;60;328
 614;2;2;5;394;223;51;315
 615;2;3;3;388;197; 8;336
 616;2;1;5;393;215;61;484
 617;2;2;1;401;223; 5;465
 618;2;3;4;403;264;75; 31
 619;2;2;3;398;220;69;387
 620;2;2;4;401;273;71;468
 621;2;1;2;399;282;72;547
 622;2;3;4;396;259; 5;470
 623;2;3;1;395;202;56;323
 624;2;2;1;403;236;56;497
 625;2;2;4;400;288;68;503
 626;2;2;1;396;206; 4;464
 627;2;2;3;401;230;72;389
 628;2;3;3;407;220;72; 16
 629;2;3;5;399;216;70;388
 630;2;1;2;402;280;64;335
 631;2;2;4;394;284;64;337
 632;2;1;1;398;196;10;406
 633;2;2;4;393;281;58;515
 634;2;1;2;399;292; 3;394
 635;2;3;4;401;256; 4;365
 636;2;3;2;394;294; 4;498
 637;2;1;2;402;275; 4;475
 638;2;3;1;409;210;54;329
 639;2;1;1;408;199; 8;460
 640;2;1;2;403;275;10;448
 641;2;3;4;402;252;65; 42
 642;2;2;2;407;318; 7; 31
 643;2;3;2;397;290;75;542
 644;2;2;1;398;227;53;505
 645;2;1;4;403;277;61;487
 646;2;3;4;390;258;75;409
 647;2;2;2;395;302;74;399
 648;2;2;1;404;215;74;394
 649;2;3;1;399;188;75;325
 650;2;3;3;409;217; 2;353
 651;2;1;5;399;213; 2;521
 652;2;1;4;398;257;72;360
 653;2;2;1;411;248;61;437
 654;2;1;5;403;218;53; 39
 655;2;2;3;402;224;59;519
 656;2;2;4;400;283; 7; 29
 657;2;1;4;398;258;64;459
 658;2;1;3;406;209; 8;464
 659;2;3;2;412;292;57;312
 660;2;2;5;401;246;65; 31
 661;2;2;2;392;293;68;468
 662;2;3;1;399;206;67;388
 663;2;2;4;400;270; 9;398
 664;2;2;4;405;270; 5;411
 665;2;1;5;395;219;64;542
 666;2;3;3;395;212;69;473
 667;2;1;2;385;266;51; 36
 668;2;2;5;397;234;51;539
 669;2;2;2;391;319; 5;385
 670;2;3;2;398;286;70;459
 671;2;2;3;405;250; 1;430
 672;2;3;2;412;288;71;547
 673;2;1;5;403;230;69;402
 674;2;1;3;395;211;55;466
 675;2;2;1;402;234;61;499
 676;2;1;1;391;186; 4;306
 677;2;1;3;401;200;60; 22
 678;2;3;2;393;274;56; 39
 679;2;1;1;402;178;52;515
 680;2;3;2;398;286; 3;488
 681;2;1;4;405;256;55; 17
 682;2;3;1;402;227; 1;509
 683;2;1;3;405;221;53;512
 684;2;3;4;402;253;10;385
 685;2;3;4;392;245; 2;346
 686;2;3;3;405;200;51;312
 687;2;1;3;404;216;10;475
 688;2;2;3;407;234; 6;317
 689;2;2;5;401;228;74;398
 690;2;2;4;400;283; 8;387
 691;2;3;1;406;197;59;506
 692;2;3;3;398;195;72;310
 693;2;3;5;401;227; 3;453
 694;2;3;3;397;202;55;357
 695;2;2;1;404;223;69;306
 696;2;1;3;404;221;71;430
 697;2;2;2;391;309; 1;516
 698;2;2;4;394;276;67;482
 699;2;2;4;397;261; 2;390
 700;2;1;3;395;220;68;374
 701;2;3;2;397;286; 1;484
 702;2;2;1;392;209;71;443
 703;2;2;3;411;224;70;475
 704;2;1;3;397;211; 1;532
 705;2;2;2;395;291;55;402
 706;2;1;5;391;207;74;382
 707;2;3;3;396;210;75;415
 708;2;2;5;393;219;70;476
 709;2;2;4;401;281;63;471
 710;2;2;3;410;238;56;509
 711;2;3;3;410;202; 6;511
 712;2;3;1;395;185;57;359
 713;2;2;3;401;241; 2;467
 714;2;1;1;409;195;52;394
 715;2;3;3;399;211;52;512
 716;2;2;5;401;231;75;526
 717;2;2;4;391;278;63;522
 718;2;3;4;398;275;65; 34
 719;2;3;3;402;199;73;350
 720;2;3;5;400;199; 1; 27
 721;2;1;5;396;227;54; 44
 722;2;2;1;399;215;73;347
 723;2;3;5;392;207;51;528
 724;2;3;1;401;211;70;518
 725;2;1;1;394;191;59;523
 726;2;2;3;395;222;66;437
 727;2;1;4;391;241;65; 28
 728;2;2;3;405;230;61; 20
 729;2;2;4;397;276;63; 31
 730;2;3;3;408;208; 6; 47
 731;2;3;4;401;284;61;367
 732;2;2;5;399;230;73; 15
 733;2;1;3;399;212;65;308
 734;2;1;5;411;206;69;309
 735;2;1;2;394;275;72;461
 736;2;2;1;394;222;58;525
 737;2;3;1;391;204;72;332
 738;2;2;2;399;305;51;412
 739;2;3;4;398;286;57;320
 740;2;3;1;400;200;65;488
 741;2;1;1;402;208;72;416
 742;2;2;1;407;228; 8;548
 743;2;1;5;403;227;57;414
 744;2;1;4;401;251;54;413
 745;2;2;4;397;272;62;489
 746;2;3;1;402;187; 9; 16
 747;2;3;4;399;256;56; 28
 748;2;2;4;408;278;71;483
 749;2;3;5;408;233; 1;410
 750;2;3;2;406;292;52;368
 751;2;2;4;400;296; 4;507
 752;2;2;4;403;284;74;408
 753;2;2;1;398;232;10;394
 754;2;2;1;388;211; 7;302
 755;2;2;3;405;242;74;338
 756;2;3;4;401;263;66;429
 757;2;3;4;395;245;56;541
 758;2;1;1;404;211;70;413
 759;2;2;5;396;239;58;303
 760;2;2;1;397;213;65; 50
 761;2;1;3;408;224;64;362
 762;2;2;4;401;266;59;490
 763;2;3;2;392;294;71;480
 764;2;3;5;387;233;69;396
 765;2;1;3;389;208;69;437
 766;2;3;4;406;251;74;543
 767;2;2;5;402;224;71;375
 768;2;1;2;403;286;65;515
 769;2;1;2;395;272;55;501
 770;2;2;1;401;217; 4; 24
 771;2;1;3;389;178;54;537
 772;2;3;2;404;294;73;416
 773;2;2;5;406;244;62;382
 774;2;2;1;407;224;55;360
 775;2;2;1;406;220; 6;439
 776;2;3;2;402;284;70;329
 777;2;3;3;394;208; 9; 24
 778;2;3;5;395;232;71;466
 779;2;1;5;391;209;10;518
 780;2;1;2;400;285;60; 12
 781;2;2;4;402;262;71;442
 782;2;2;3;396;233;71;315
 783;2;3;4;385;244; 1;391
 784;2;1;4;399;253;60; 30
 785;2;2;4;396;275;68;479
 786;2;1;3;399;194; 5;339
 787;2;1;4;409;266;69;399
 788;2;1;5;399;216;59;385
 789;2;3;2;393;303;57;399
 790;2;2;1;399;217;71;387
 791;2;2;5;389;230;59;393
 792;2;3;5;402;212;68; 45
 793;2;1;5;392;218;71;526
 794;2;2;5;396;213;59; 49
 795;2;2;1;407;226; 8;524
 796;2;3;3;410;197;75; 39
 797;2;2;2;397;294; 4;512
 798;2;1;5;410;226;58;505
 799;2;1;5;403;198; 2;308
 800;2;1;2;406;274;55;389
 801;2;3;4;403;236;56;326
 802;2;1;2;396;274;63;378
 803;2;1;3;406;204; 2;508
 804;2;3;2;399;281;62;512
 805;2;2;3;401;233;72;455
 806;2;1;2;404;297; 9;366
 807;2;2;1;399;214;73;352
 808;2;1;2;396;303;65;488
 809;2;3;2;408;292;63;506
 810;2;2;1;394;221;68;508
 811;2;3;5;394;207; 3;393
 812;2;2;4;407;298;65;526
 813;2;3;2;406;277;73;463
 814;2;3;4;402;268;69;370
 815;2;1;3;399;216;63;351
 816;2;1;3;405;227;64;353
 817;2;2;5;397;247;69;337
 818;2;2;2;400;325;64;452
 819;2;3;3;400;212; 9;308
 820;2;2;1;405;222; 7;372
 821;2;3;2;401;270;65;322
 822;2;1;2;403;300;71;510
 823;2;3;5;398;223; 4;305
 824;2;1;4;407;270;61;327
 825;2;2;2;411;327;61;548
 826;2;2;1;393;219;67;445
 827;2;1;3;403;194;56;490
 828;2;1;4;395;247;68; 39
 829;2;1;4;402;248;63;462
 830;2;1;2;405;292;59;394
 831;2;1;4;388;227;57; 22
 832;2;3;4;398;275; 1; 44
 833;2;1;4;393;250;68;432
 834;2;1;5;398;205;63;545
 835;2;2;1;395;234;63; 42
 836;2;3;3;403;208;52; 45
 837;2;1;4;403;267;74;549
 838;2;1;2;400;266;61;484
 839;2;3;3;395;188;66;526
 840;2;1;1;400;191;51; 43
 841;2;3;5;397;213; 7;424
 842;2;1;1;405;218; 5;313
 843;2;1;3;397;189;72;471
 844;2;3;2;402;302;69;427
 845;2;2;2;405;299; 9;362
 846;2;2;5;402;243;71;478
 847;2;2;2;408;301;66; 50
 848;2;3;5;398;230;57;301
 849;2;3;2;402;281;71;494
 850;2;1;4;392;240;56;446
 851;2;2;1;392;207;74; 48
 852;2;2;5;408;260;59; 33
 853;2;1;4;399;265; 8;514
 854;2;2;1;390;202;70;447
 855;2;2;1;411;229;72; 38
 856;2;2;5;404;235;57;485
 857;2;2;5;401;242;58;434
 858;2;3;3;401;211;63;391
 859;2;3;3;403;201;73;388
 860;2;2;3;402;212; 4;374
 861;2;1;4;393;244; 4;361
 862;2;3;5;402;223;56;492
 863;2;3;5;396;227;53;461
 864;2;2;1;388;205; 1;442
 865;2;1;1;401;202;68;482
 866;2;3;2;403;293; 8; 47
 867;2;3;4;401;265;59;448
 868;2;3;4;394;251;62;451
 869;2;1;5;387;205;65;331
 870;2;3;2;398;297;67;445
 871;2;2;3;406;244;62;543
 872;2;1;5;393;193;72;468
 873;2;1;5;400;213;75;413
 874;2;3;1;408;187;73;473
 875;2;1;4;400;261;55;375
 876;2;3;4;406;274;65;417
 877;2;2;2;396;317; 3; 45
 878;2;3;4;397;246; 8;344
 879;2;1;2;406;262;73;533
 880;2;3;3;395;182;10;321
 881;2;1;4;402;256;71;425
 882;2;2;2;408;321;61;324
 883;2;1;4;401;256;59;434
 884;2;2;3;395;220; 5;319
 885;2;3;2;404;268;68;309
 886;2;3;1;395;195;72;523
 887;2;2;5;399;255;58; 31
 888;2;1;5;393;208;60;378
 889;2;3;4;400;249;68;381
 890;2;3;4;407;274; 7;414
 891;2;3;4;403;271;61; 16
 892;2;1;3;400;182;10;307
 893;2;1;2;403;280;72; 43
 894;2;3;4;397;269;72;437
 895;2;1;3;397;203;65;353
 896;2;1;3;391;202;69;524
 897;2;2;1;397;232; 3;494
 898;2;3;1;404;204; 7;383
 899;2;3;3;404;215; 3;442
 900;2;2;2;396;273; 5; 49
 901;2;1;3;399;212;65;378
 902;2;3;4;396;271;62;494
 903;2;2;4;397;267;63;333
 904;2;3;2;402;288;54;410
 905;2;2;3;396;231; 1;440
 906;2;2;3;402;213;55;493
 907;2;3;5;400;219;61; 31
 908;2;3;3;392;200;53;470
 909;2;3;3;385;207;64;502
 910;2;2;1;394;224; 7;426
 911;2;3;1;413;231;54;505
 912;2;1;5;401;208;70;466
 913;2;3;5;393;209;53;324
 914;2;3;2;399;304; 3;496
 915;2;3;3;392;208;59; 43
 916;2;1;3;403;189;70;518
 917;2;1;3;403;210;57;547
 918;2;3;2;401;282;62;319
 919;2;3;4;397;244;52;391
 920;2;2;4;399;283;61;346
 921;2;1;1;392;189;68;481
 922;2;2;3;409;236;72;495
 923;2;2;3;397;215;51;485
 924;2;3;2;402;296;75;374
 925;2;3;3;398;210;71; 27
 926;2;3;1;409;202; 5;320
 927;2;3;4;395;267;58;328
 928;2;2;2;405;303; 3;545
 929;2;1;4;389;247;51;443
 930;2;1;2;393;280;71;460
 931;2;1;5;396;213;54;537
 932;2;3;5;398;209;66;464
 933;2;2;5;400;221;51;506
 934;2;3;3;403;200; 1;477
 935;2;2;3;401;214;62;536
 936;2;2;1;400;211; 2;359
 937;2;3;5;400;220; 1;383
 938;2;2;2;405;318;66;407
 939;2;3;1;397;180;53; 22
 940;2;1;2;406;274; 5;378
 941;2;3;5;398;229; 4; 16
 942;2;1;4;400;251;73;403
 943;2;3;2;401;267;53;461
 944;2;2;2;404;318; 6;353
 945;2;3;3;393;219; 2;347
 946;2;1;2;400;291; 5;506
 947;2;2;5;396;238;69;421
 948;2;1;4;406;264;58;439
 949;2;1;1;391;195; 7;530
 950;2;2;2;401;303; 4;429
 951;2;2;3;397;227;74;548
 952;2;2;5;400;242; 2;424
 953;2;2;3;402;224; 4;403
 954;2;1;5;401;217; 7;524
 955;2;2;5;404;258;59;439
 956;2;1;5;391;218;66;475
 957;2;1;3;399;209;75;534
 958;2;3;2;399;291;69;527
 959;2;2;3;401;227; 2;458
 960;2;2;5;418;246;73;413
 961;2;3;2;398;303;58;380
 962;2;3;4;402;264;54; 39
 963;2;1;2;405;282; 5;469
 964;2;3;5;404;201;58;515
 965;2;1;3;397;209;10;308
 966;2;1;5;410;226;62; 16
 967;2;3;3;399;205;59;496
 968;2;1;5;405;216;57;398
 969;2;3;2;401;292; 4;445
 970;2;3;2;397;293; 6;344
 971;2;3;2;398;283; 9;515
 972;2;3;2;397;289;75;357
 973;2;2;3;397;244; 7;361
 974;2;2;3;391;219;72;351
 975;2;1;2;410;306; 7;302
 976;2;2;1;385;202;54;501
 977;2;3;1;403;201;10;324
 978;2;1;2;402;293;70;516
 979;2;1;1;390;180;70;490
 980;2;2;5;398;225;57; 15
 981;2;2;2;396;295;71;469
 982;2;3;1;393;181; 9;473
 983;2;3;2;402;287;52;378
 984;2;1;1;408;209;68;424
 985;2;3;1;405;200;74;450
 986;2;2;4;403;273; 2;452
 987;2;1;3;395;208;58;488
 988;2;3;3;395;213;66;438
 989;2;2;5;411;245;64;505
 990;2;3;3;396;210;10;458
 991;2;3;3;396;191;51;514
 992;2;3;5;404;206;53;319
 993;2;3;1;396;189;55;377
 994;2;2;3;401;234; 5;493
 995;2;3;1;402;202; 8;507
 996;2;1;3;400;204;62;500
 997;2;2;1;405;215;54;442
 998;2;2;3;408;239;67;532
