Id;sex;slh;hrd;age;cw;day;hum
 320;2;3;2;403,4189;297; 2;-0,7
 321;2;2;4;399,8022;290;20;-0,6
 322;2;1;4;400,8174;247; 2;-1,2
 323;2;2;1;396,7475;218; 4; 0,0
 324;2;1;5;402,0735;218;11;-1,1
 325;2;3;1;405,6628;197; 9; 1,1
 326;2;3;4;397,7108;250; 1; 0,6
 327;2;1;4;389,6984;248;10;-0,4
 328;2;2;5;401,0979;240;13;-2,2
 329;2;1;3;387,4671;200;21; 1,2
 330;2;1;1;400,1494;193;11;-1,4
 331;2;3;1;399,3265;188; 9; 1,1
 332;2;3;5;400,3535;222;23;-2,0
 333;2;1;1;400,4220;210; 9; 1,0
 334;2;3;5;396,2209;209;11; 0,4
 335;2;3;3;403,5822;207;24;-1,8
 336;2;2;3;396,3170;226;19;-2,3
 337;2;1;1;399,8921;198; 1; 0,5
 338;2;3;1;402,9003;203;18;-0,5
 339;2;3;5;389,5033;221;25;-0,3
 340;2;1;2;404,4643;305;30;-1,0
 341;2;2;2;403,7160;298;19;-0,2
 342;2;1;5;403,5420;222;20; 0,1
 343;2;2;1;393,6672;211;27;-0,9
 344;2;2;4;407,4708;292;16; 1,2
 345;2;2;3;395,2053;218;16; 0,0
 346;2;3;1;396,7416;204;30; 1,3
 347;2;1;4;405,4104;255;24;-0,2
 348;2;1;5;398,4697;205;20;-0,9
 349;2;2;5;396,7957;227;26; 1,2
 350;2;3;3;392,5827;209;12;-1,3
 351;2;3;4;402,0769;265;26; 0,0
 352;2;1;3;404,6853;204;30;-0,9
 353;2;1;5;388,2045;208;26; 0,0
 354;2;2;5;398,6284;235;16; 0,2
 355;2;2;5;411,7109;251; 4;-0,7
 356;2;1;5;408,5952;220;16; 0,9
 357;2;1;4;391,2108;250;25;-0,6
 358;2;1;4;397,6311;248;11;-1,9
 359;2;3;3;398,2367;198;14;-1,5
 360;2;3;2;397,3306;284; 9;-1,0
 361;2;2;5;402,3732;246;30;-0,6
 362;2;3;5;399,2685;229;30; 0,7
 363;2;2;1;400,6666;211; 4;-1,3
 364;2;1;3;404,9267;204; 1;-0,8
 365;2;2;4;406,5141;286;27; 1,4
 366;2;2;3;403,2084;240;12;-0,6
 367;2;1;5;410,5611;223;10; 0,0
 368;2;2;5;397,9355;251;18; 1,0
 369;2;2;4;404,1778;279;13; 0,0
 370;2;2;5;389,9298;236;11;-0,8
 371;2;3;4;405,4280;267;28; 0,4
 372;2;2;4;393,4054;267; 2;-1,1
 373;2;3;1;405,1089;209; 9; 0,3
 374;2;2;1;395,4715;218;20; 0,2
 375;2;3;4;396,7084;258; 9;-0,3
 376;2;1;2;396,3323;282;15;-0,1
 377;2;1;2;390,6398;278;25; 0,1
 378;2;1;1;401,2637;195;13; 1,1
 379;2;2;1;402,1538;211;17; 0,9
 380;2;1;4;400,5333;233;17;-1,2
 381;2;3;4;395,0264;254; 9;-0,3
 382;2;2;5;396,5213;224;10;-0,3
 383;2;3;1;394,6273;200;15;-0,3
 384;2;2;4;408,6560;261;28;-0,8
 385;2;1;2;398,6271;292; 8;-0,6
 386;2;2;4;406,4853;282;28;-1,8
 387;2;1;3;392,9292;197;27;-0,8
 388;2;3;3;399,5453;225; 6;-0,1
 389;2;1;2;398,4482;289;16;-0,5
 390;2;1;2;398,2161;275;15; 0,4
 391;2;1;3;399,7817;186;25;-0,4
 392;2;1;5;399,8039;213;18;-1,1
 393;2;1;3;387,8158;196;30; 0,9
 394;2;2;2;396,5412;304; 3; 0,3
 395;2;3;1;406,8918;195;12; 0,7
 396;2;3;4;396,2635;269;16; 0,0
 397;2;3;2;402,9723;291; 1;-0,1
 398;2;1;2;388,7420;280;11;-2,2
 399;2;1;5;392,7640;197; 7;-1,2
 400;2;1;1;398,4812;189;14; 0,7
 401;2;3;1;399,1729;206; 1; 1,1
 402;2;1;1;395,7642;184;26;-0,8
 403;2;3;4;402,6653;282;27;-0,7
 404;2;3;2;400,0877;302;11;-1,2
 405;2;1;3;397,8866;203; 2;-0,4
 406;2;2;3;394,6923;207; 8;-0,6
 407;2;3;5;407,1179;227;13; 1,1
 408;2;2;4;407,0512;272;10;-0,4
 409;2;2;3;391,8717;223;27;-2,0
 410;2;3;2;393,8515;290;27; 0,8
 411;2;1;5;401,0192;211;20;-2,3
 412;2;1;1;401,0173;202;17;-0,3
 413;2;2;4;405,8416;275; 7; 0,3
 414;2;1;3;403,4189;197;30; 1,3
 415;2;2;2;396,3598;296;25;-0,8
 416;2;2;2;399,3341;305;22;-0,1
 417;2;1;2;399,0460;278; 7; 1,0
 418;2;3;1;393,5044;205;19;-0,1
 419;2;3;3;402,3668;208;16; 0,6
 420;2;3;1;392,1008;196;28; 2,3
 421;2;2;2;398,3814;305;15; 0,7
 422;2;2;3;403,4424;220;14; 0,3
 423;2;1;2;400,7882;271; 5; 0,4
 424;2;3;2;405,3627;297; 6;-1,0
 425;2;1;5;407,7526;233;22; 1,1
 426;2;1;3;396,8523;200; 3; 1,1
 427;2;3;2;397,3598;283;23;-0,3
 428;2;2;2;404,7998;303;26;-2,0
 429;2;3;4;404,1203;249; 8; 0,5
 430;2;2;1;403,8177;210;29; 2,3
 431;2;2;3;397,4766;218;10; 0,5
 432;2;1;3;403,3302;206;19; 0,9
 433;2;3;4;393,9705;261;21; 2,2
 434;2;3;5;403,3621;222;18;-1,8
 435;2;3;2;396,5720;287;28; 0,6
 436;2;1;3;396,1029;215; 6;-0,4
 437;2;1;3;397,9647;208; 4;-1,4
 438;2;2;3;401,6708;239;18; 0,6
 439;2;1;5;392,1123;222;12; 0,5
 440;2;2;2;410,9688;316; 4;-0,6
 441;2;1;3;396,1345;205; 2; 0,3
 442;2;2;2;395,0210;306; 1;-0,4
 443;2;2;5;405,3118;243;28;-0,9
 444;2;3;4;393,4878;261;21;-0,4
 445;2;3;4;395,7077;266; 4; 0,4
 446;2;3;3;397,1672;198;24;-0,2
 447;2;2;1;395,0833;216;16;-1,3
 448;2;2;3;392,0585;229; 4;-0,7
 449;2;1;4;396,2995;233; 7; 0,3
 450;2;2;1;392,0946;221;18; 0,9
 451;2;2;4;396,2465;274;22; 0,9
 452;2;2;2;400,7630;304; 9;-0,9
 453;2;3;5;406,5271;234; 7;-0,5
 454;2;1;1;410,0965;204; 9;-0,7
 455;2;1;4;404,5359;250; 9;-0,4
 456;2;3;3;399,8262;204;17; 0,6
 457;2;1;3;389,3235;183;11;-1,7
 458;2;3;3;407,0706;224;14; 0,3
 459;2;1;3;403,1252;210;11;-1,0
 460;2;1;3;402,0026;216; 6;-0,8
 461;2;1;2;409,1122;278; 9; 0,0
 462;2;2;4;406,4672;287; 8;-0,1
 463;2;3;5;401,5008;229; 9;-1,0
 464;2;1;2;407,4249;305;13;-0,9
 465;2;3;4;399,6629;253; 1;-0,4
 466;2;2;2;391,2306;300;16; 0,1
 467;2;3;2;396,5932;297;10;-1,1
 468;2;1;1;413,7588;203; 3;-0,6
 469;2;3;3;402,5323;218;14; 0,3
 470;2;1;2;403,4906;280;20;-1,5
 471;2;2;4;399,8241;282; 1; 0,4
 472;2;2;4;400,2098;287;29;-0,1
 473;2;2;5;399,9116;229;27;-1,2
 474;2;3;1;405,1208;204; 8;-0,3
 475;2;1;5;402,3053;216; 6; 0,1
 476;2;2;3;403,2341;225;20;-2,4
 477;2;2;5;394,9062;222;16; 0,7
 478;2;3;3;392,0178;203;24; 0,6
 479;2;3;4;414,8627;267;17; 0,3
 480;2;2;1;383,9778;211;17; 0,2
 481;2;2;1;400,2258;219;28;-1,3
 482;2;2;1;383,5505;214;16; 0,1
 483;2;1;2;398,6489;288;19; 0,3
 484;2;3;1;405,2444;200; 6;-0,6
 485;2;3;3;394,4634;209;15; 1,5
 486;2;3;1;405,2195;197;29; 0,3
 487;2;2;5;392,5735;234;11; 1,0
 488;2;1;3;410,5022;202; 4;-0,1
 489;2;3;5;404,7443;231;11; 1,1
 490;2;2;2;399,3955;309;16;-1,6
 491;2;3;1;399,7110;191; 8; 0,3
 492;2;3;4;403,1409;257;16;-0,1
 493;2;3;1;396,1103;191; 3;-1,2
 494;2;2;5;402,8643;242;15; 0,7
 495;2;2;2;398,1482;308;14;-0,2
 496;2;3;4;404,6655;256;19; 0,6
 497;2;1;4;396,6884;253; 6;-1,1
 498;2;3;2;392,3292;285;10;-1,1
 499;2;2;1;411,6596;240;28;-1,0
 500;2;2;1;407,8175;219;22;-0,8
 501;2;2;4;395,4109;266; 6;-0,3
 502;2;1;4;396,2961;244;28;-0,6
 503;2;2;3;406,1298;228; 3; 1,3
 504;2;2;2;403,1756;310;21;-0,1
 505;2;1;4;404,9592;248;18; 1,3
 506;2;1;3;404,4833;207;23; 0,0
 507;2;1;3;399,1367;200; 7; 1,2
 508;2;3;4;402,9580;252;26; 0,3
 509;2;1;5;409,5029;232;22;-1,4
 510;2;2;3;396,9259;229;30;-1,7
 511;2;1;3;406,8153;212;29; 1,0
 512;2;1;2;397,2424;273;26;-1,6
 513;2;3;5;399,5144;222;28; 1,9
 514;2;2;4;404,0698;279;25;-0,3
 515;2;1;1;405,2893;189;23;-0,1
 516;2;3;4;403,3098;263;15; 0,8
 517;2;2;3;396,8328;220;25; 1,3
 518;2;3;3;412,6555;217; 7;-0,7
 519;2;1;1;402,7143;197;30;-0,4
 520;2;1;5;391,4307;216;19;-0,2
 521;2;1;4;399,6325;248; 1;-1,3
 522;2;3;1;401,0880;203;26;-0,2
 523;2;2;3;406,2238;234; 3; 0,4
 524;2;3;1;396,1211;202; 4;-0,1
 525;2;3;1;397,2646;210; 2;-0,2
 526;2;2;5;395,3583;244; 8;-0,7
 527;2;3;1;397,4257;203;12;-1,1
 528;2;3;2;395,2325;293;17; 0,4
 529;2;3;5;400,9331;223; 5; 0,9
 530;2;1;5;406,3813;213;17;-0,5
 531;2;2;2;398,0014;293;28;-0,1
 532;2;3;3;399,2924;208;17;-1,4
 533;2;2;4;403,8476;272;25;-0,9
 534;2;3;4;407,7009;272; 1;-1,2
 535;2;3;4;402,4781;255; 6; 1,3
 536;2;1;4;404,5091;254; 1;-0,4
 537;2;1;1;404,7357;200;18; 2,0
 538;2;2;2;389,2692;283;27;-1,0
 539;2;2;4;410,2242;285; 7; 0,4
 540;2;3;2;389,7396;280;26; 0,7
 541;2;1;3;399,3925;189;12;-0,2
 542;2;3;2;396,3038;286; 6; 1,0
 543;2;1;1;391,0737;186;14;-0,1
 544;2;1;4;408,7889;275;19;-1,7
 545;2;3;1;401,9306;197;20;-0,6
 546;2;2;3;403,4269;217; 2;-0,7
 547;2;3;3;402,0990;210; 4;-0,2
 548;2;2;5;398,7473;238;14; 2,3
 549;2;3;2;402,2795;284; 2;-0,9
 550;2;1;1;408,8430;211;11; 0,8
 551;2;3;5;399,0524;229;25; 1,8
 552;2;2;5;405,7023;246; 7; 0,3
 553;2;2;5;402,6651;235;20;-2,0
 554;2;3;5;400,1641;212;21;-0,4
 555;2;2;4;405,3874;278;29;-2,7
 556;2;2;1;409,0128;230;13;-0,6
 557;2;3;5;395,9576;214;19;-0,9
 558;2;2;5;404,5287;249; 1; 0,1
 559;2;3;5;389,7189;216;28; 0,6
 560;2;1;2;399,1573;276;14;-0,5
 561;2;2;2;390,5216;315;27; 0,4
 562;2;2;2;398,3011;302;17;-0,8
 563;2;2;5;400,2612;245;12; 0,9
 564;2;2;1;398,8903;213; 7; 0,3
 565;2;3;1;397,4055;196;30;-0,6
 566;2;3;4;396,6846;255;19;-0,3
 567;2;3;2;399,8193;292;18;-0,8
 568;2;1;3;401,2743;204;16; 0,7
 569;2;2;4;399,9785;278;24;-1,1
 570;2;1;1;399,8818;196; 3; 0,1
 571;2;2;4;400,8817;289;17; 0,3
 572;2;3;3;402,1975;217;27; 1,9
 573;2;3;1;398,5013;206;13; 0,5
 574;2;3;5;399,1994;218;29; 0,7
 575;2;2;2;404,2262;306;24; 0,6
 576;2;3;5;399,5852;223; 1;-0,1
 577;2;2;5;395,5404;243;13;-0,2
 578;2;3;2;387,9094;281;14; 0,8
 579;2;3;3;406,7760;232;11;-1,1
 580;2;2;1;396,8172;221;17;-0,5
 581;2;1;5;408,5413;221;17;-0,3
 582;2;2;1;399,8444;218;26; 0,9
 583;2;3;4;407,3975;262; 4; 0,3
 584;2;2;4;408,0989;280; 9;-0,7
 585;2;3;3;402,3707;209; 4; 0,7
 586;2;1;4;406,4100;268;12;-1,4
 587;2;3;3;389,4792;195;25; 1,9
 588;2;2;2;403,4557;310;23; 0,6
 589;2;2;1;403,3358;215;26; 0,6
 590;2;3;1;405,5709;211;25; 1,1
 591;2;3;1;403,0784;210;22; 0,7
 592;2;1;4;406,4725;251;12; 1,4
 593;2;1;3;397,4258;203;23;-0,2
 594;2;1;2;397,6832;281; 3;-0,2
 595;2;3;1;393,0445;197;12;-1,6
 596;2;3;1;405,0401;200; 3;-0,4
 597;2;2;3;406,3885;247;17; 0,1
 598;2;1;5;400,2896;204;11; 1,1
 599;2;1;3;395,0626;205; 5;-2,0
 600;2;3;4;391,0668;267;21;-0,2
 601;2;2;1;397,3328;230; 9;-0,9
 602;2;1;2;391,3837;284;23; 1,7
 603;2;1;5;414,0830;223;15; 2,4
 604;2;1;4;399,6283;261;18; 0,7
 605;2;1;2;411,6909;297; 1; 0,4
 606;2;3;2;393,2568;280;14; 0,0
 607;2;3;3;391,6862;196; 6; 0,6
 608;2;3;3;400,6271;214; 2; 2,0
 609;2;1;3;401,1126;202; 8;-1,2
 610;2;2;1;403,8464;223;13;-1,7
 611;2;1;4;399,8852;258;17;-0,6
 612;2;3;5;395,2871;210; 2;-1,0
 613;2;3;5;398,9605;218;29; 0,2
 614;2;2;5;394,4589;239; 1;-0,7
 615;2;3;3;388,1733;196; 3; 0,6
 616;2;1;5;392,7995;207;19;-1,1
 617;2;2;1;400,6766;216;11;-1,3
 618;2;3;4;402,7134;268;16;-1,2
 619;2;2;3;397,6927;213;21; 1,1
 620;2;2;4;401,4856;277; 6; 0,9
 621;2;1;2;399,4000;279; 8;-1,0
 622;2;3;4;395,7914;250; 1;-0,6
 623;2;3;1;394,6337;200; 6;-1,9
 624;2;2;1;403,2113;237;11; 0,1
 625;2;2;4;399,5310;282; 2;-1,6
 626;2;2;1;396,2552;207; 5; 0,6
 627;2;2;3;400,5873;221; 6; 0,1
 628;2;3;3;406,9557;216; 8; 2,7
 629;2;3;5;398,8659;222; 3;-0,4
 630;2;1;2;401,9774;278;30; 0,0
 631;2;2;4;394,3346;276; 7;-0,4
 632;2;1;1;397,9484;195;13; 1,0
 633;2;2;4;392,8446;279; 9; 0,9
 634;2;1;2;399,4436;281;27; 1,4
 635;2;3;4;400,5667;264;22;-1,1
 636;2;3;2;393,9166;284;27;-0,6
 637;2;1;2;402,1035;275;27; 0,1
 638;2;3;1;409,0849;215;21;-1,3
 639;2;1;1;407,5515;195;26; 0,3
 640;2;1;2;402,9670;285; 3; 2,0
 641;2;3;4;402,1562;260;20;-1,5
 642;2;2;2;406,8923;303;24;-0,4
 643;2;3;2;397,2048;290;11;-1,2
 644;2;2;1;398,2646;220; 6; 1,3
 645;2;1;4;403,4230;265;12;-0,5
 646;2;3;4;389,9809;255;12; 1,2
 647;2;2;2;395,0954;304;17; 1,4
 648;2;2;1;403,7237;221;27;-1,7
 649;2;3;1;398,6947;192;25;-1,5
 650;2;3;3;408,5667;217;10;-1,8
 651;2;1;5;398,8110;225; 7;-1,6
 652;2;1;4;397,6494;253;20; 0,7
 653;2;2;1;411,0390;234; 9; 0,6
 654;2;1;5;402,6212;220;19;-0,6
 655;2;2;3;402,3498;227;28; 1,6
 656;2;2;4;400,4746;281; 5;-0,7
 657;2;1;4;398,4991;260; 5; 0,8
 658;2;1;3;406,0246;210;13;-0,1
 659;2;3;2;411,5127;297;11; 0,4
 660;2;2;5;400,6698;244;13;-1,2
 661;2;2;2;391,8131;295; 8;-0,3
 662;2;3;1;399,0870;205;18;-0,9
 663;2;2;4;400,4890;274; 3;-0,1
 664;2;2;4;404,9562;281;27; 1,2
 665;2;1;5;395,4278;210; 8; 1,9
 666;2;3;3;394,8487;204; 6; 1,0
 667;2;1;2;385,3605;283;16;-0,7
 668;2;2;5;397,0381;242; 8; 1,3
 669;2;2;2;390,9441;316;15; 0,1
 670;2;3;2;397,9109;292; 4; 0,9
 671;2;2;3;405,0493;243; 2; 0,6
 672;2;3;2;411,9896;286;12;-0,7
 673;2;1;5;402,6945;218;20; 2,6
 674;2;1;3;395,0953;206;10;-1,4
 675;2;2;1;402,2662;222; 2;-0,5
 676;2;1;1;391,4180;188; 2; 0,6
 677;2;1;3;401,1899;210; 8;-0,4
 678;2;3;2;393,4840;275;15;-0,7
 679;2;1;1;401,5903;183; 7; 0,0
 680;2;3;2;398,4788;279; 2; 0,1
 681;2;1;4;405,2058;257; 2; 0,6
 682;2;3;1;402,2386;216;26;-1,1
 683;2;1;3;405,3988;224;27; 0,6
 684;2;3;4;401,9384;257;23;-1,3
 685;2;3;4;391,9277;245;11; 1,2
 686;2;3;3;405,0885;209;25; 1,1
 687;2;1;3;403,6961;216;28;-1,0
 688;2;2;3;407,1792;234;16;-0,9
 689;2;2;5;400,8345;234;19;-0,3
 690;2;2;4;399,7392;273;24;-0,6
 691;2;3;1;406,2901;198;17; 0,1
 692;2;3;3;398,3533;196;12;-0,8
 693;2;3;5;400,8798;221;24; 1,8
 694;2;3;3;397,1714;209; 6; 0,5
 695;2;2;1;404,3979;214;19; 0,0
 696;2;1;3;403,6133;214;24;-2,0
 697;2;2;2;391,3453;307; 7; 0,6
 698;2;2;4;393,7639;278; 3; 0,9
 699;2;2;4;396,8038;268;10;-1,1
 700;2;1;3;395,0127;211;19;-0,1
 701;2;3;2;397,2364;285;29;-1,8
 702;2;2;1;392,4082;218; 8; 0,0
 703;2;2;3;410,7449;230;14; 0,5
 704;2;1;3;396,5035;201;14;-0,9
 705;2;2;2;394,9143;296; 5; 0,0
 706;2;1;5;390,5057;214;23;-1,2
 707;2;3;3;396,4703;216;14; 0,0
 708;2;2;5;392,5738;228; 1;-1,2
 709;2;2;4;401,2987;287;24;-1,5
 710;2;2;3;410,0251;238; 3;-0,5
 711;2;3;3;410,1234;212; 2;-0,2
 712;2;3;1;394,5231;190;11; 0,7
 713;2;2;3;401,1794;235;14; 1,4
 714;2;1;1;409,3406;199;16;-0,3
 715;2;3;3;399,4238;217;19; 1,7
 716;2;2;5;401,2038;230; 8;-0,1
 717;2;2;4;391,3026;278;14; 0,9
 718;2;3;4;397,7265;267;22;-0,6
 719;2;3;3;402,0337;204; 4; 0,9
 720;2;3;5;400,2281;215;28;-1,1
 721;2;1;5;395,6020;224; 4;-1,5
 722;2;2;1;399,0329;220;24; 0,5
 723;2;3;5;392,0814;207;29;-0,5
 724;2;3;1;401,2955;215;26;-0,6
 725;2;1;1;393,5449;186;17; 0,9
 726;2;2;3;394,8419;224; 2; 0,8
 727;2;1;4;390,6247;248; 8; 0,3
 728;2;2;3;404,5779;225;20;-1,4
 729;2;2;4;397,1503;275; 3;-0,6
 730;2;3;3;407,8849;207;12; 0,8
 731;2;3;4;401,2384;264;13; 2,0
 732;2;2;5;399,0631;235;18;-1,3
 733;2;1;3;398,6377;214;24;-0,6
 734;2;1;5;411,3746;205;11;-1,4
 735;2;1;2;393,7397;284;24; 0,3
 736;2;2;1;394,4301;214;15; 0,6
 737;2;3;1;391,0706;198;21;-0,1
 738;2;2;2;398,9169;315;28; 1,5
 739;2;3;4;397,9163;273;28;-1,4
 740;2;3;1;400,2992;194;11;-0,6
 741;2;1;1;401,6404;203;26; 1,5
 742;2;2;1;406,8826;219; 6;-2,4
 743;2;1;5;403,1041;226;16; 0,2
 744;2;1;4;400,6594;249;16;-0,5
 745;2;2;4;397,0920;277; 1; 0,2
 746;2;3;1;402,3806;190;26; 1,1
 747;2;3;4;399,1822;252;22; 0,8
 748;2;2;4;408,1303;288;29; 0,8
 749;2;3;5;408,1855;231;24;-0,5
 750;2;3;2;406,1351;290;28; 0,7
 751;2;2;4;400,2099;296; 6;-0,9
 752;2;2;4;403,1320;284; 7;-0,1
 753;2;2;1;397,8940;225; 9;-2,5
 754;2;2;1;388,1059;206; 5;-2,9
 755;2;2;3;404,6489;241; 1; 0,0
 756;2;3;4;400,9145;259;17;-0,4
 757;2;3;4;394,5841;249; 3;-1,8
 758;2;1;1;404,3905;212;16;-0,2
 759;2;2;5;396,0450;238;24; 0,4
 760;2;2;1;396,7816;215;20;-0,1
 761;2;1;3;407,9350;216;21;-2,0
 762;2;2;4;401,3227;270; 5;-0,2
 763;2;3;2;392,2989;293;21;-0,2
 764;2;3;5;386,5852;225;19;-0,2
 765;2;1;3;388,8936;206; 8; 0,3
 766;2;3;4;406,2693;258; 7; 0,0
 767;2;2;5;402,3236;237;11;-2,0
 768;2;1;2;402,6339;284;13; 1,2
 769;2;1;2;395,4490;274; 1; 0,2
 770;2;2;1;401,4787;220;27;-2,2
 771;2;1;3;389,0316;180;13; 1,1
 772;2;3;2;403,5344;294;16; 0,6
 773;2;2;5;406,2824;244;19; 1,4
 774;2;2;1;407,0777;222;24;-0,2
 775;2;2;1;405,6407;226;30; 1,0
 776;2;3;2;401,9263;285;28; 1,4
 777;2;3;3;393,8142;209; 3; 0,7
 778;2;3;5;394,6386;222; 9; 0,6
 779;2;1;5;391,0989;217;15; 1,2
 780;2;1;2;399,7124;288;28; 0,9
 781;2;2;4;402,1058;268;19; 0,2
 782;2;2;3;396,0782;236;23;-1,5
 783;2;3;4;384,9564;240; 9; 0,6
 784;2;1;4;398,5275;246;25;-0,8
 785;2;2;4;396,2715;281; 5;-0,9
 786;2;1;3;399,2395;196;17; 0,3
 787;2;1;4;408,9668;260; 1; 2,9
 788;2;1;5;398,7836;202;15;-1,3
 789;2;3;2;392,5195;301;18;-0,3
 790;2;2;1;398,7583;216;28; 0,0
 791;2;2;5;389,4270;226;17; 0,8
 792;2;3;5;401,5830;215;20; 1,3
 793;2;1;5;392,3220;218; 9;-0,6
 794;2;2;5;396,1900;217; 9;-0,2
 795;2;2;1;406,7877;223;24;-2,0
 796;2;3;3;410,4445;206; 1;-0,3
 797;2;2;2;397,2804;295; 1; 0,7
 798;2;1;5;410,2427;224;10; 1,0
 799;2;1;5;402,5559;213; 3; 0,2
 800;2;1;2;406,2892;277;11;-0,5
 801;2;3;4;402,9923;252;14;-2,0
 802;2;1;2;396,1127;272;26; 1,9
 803;2;1;3;405,5033;198;18; 1,7
 804;2;3;2;399,3179;278;12; 0,5
 805;2;2;3;400,9616;230;12; 0,3
 806;2;1;2;403,9143;298;27;-0,9
 807;2;2;1;398,5979;221;11;-0,5
 808;2;1;2;396,4107;297;15; 0,9
 809;2;3;2;407,6576;291;26;-1,1
 810;2;2;1;394,2200;218;20;-0,9
 811;2;3;5;393,9298;210;26;-0,8
 812;2;2;4;407,2147;299;18;-0,2
 813;2;3;2;406,4489;285; 4; 0,3
 814;2;3;4;402,2376;254;12; 0,1
 815;2;1;3;399,1550;213;26; 0,3
 816;2;1;3;404,7391;222;14;-1,0
 817;2;2;5;397,2268;242;30; 1,2
 818;2;2;2;399,8386;303; 8;-0,2
 819;2;3;3;400,0550;212; 1;-1,0
 820;2;2;1;405,0337;216;30; 1,7
 821;2;3;2;400,9243;275; 7;-0,2
 822;2;1;2;403,1111;308;19; 0,8
 823;2;3;5;397,8847;216;17; 0,9
